gene_id	GO	description
gene=ugd	GO:0051287	NAD binding
gene=ugd	GO:0003979	UDP-glucose 6-dehydrogenase activity
gene=ugd	GO:0006065	UDP-glucuronate biosynthetic process
gene=dnaE_1	GO:0008408	3'-5' exonuclease activity
gene=dnaE_1	GO:0006260	DNA replication
gene=dnaE_1	GO:0003887	DNA-directed DNA polymerase activity
gene=dnaE_1	GO:0005737	cytoplasm
gene=yvcJ	GO:0005524	ATP binding
gene=yvcJ	GO:0005525	GTP binding
gene=hldE_2	GO:0016773	phosphotransferase activity, alcohol group as acceptor
gene=hldE_2	GO:0033785	heptose 7-phosphate kinase activity
gene=hldE_2	GO:0097171	ADP-L-glycero-beta-D-manno-heptose biosynthetic process
gene=hldE_2	GO:0033786	heptose-1-phosphate adenylyltransferase activity
gene=hldE_2	GO:0005524	ATP binding
gene=tadA	GO:0006220	pyrimidine nucleotide metabolic process
gene=tadA	GO:0009165	nucleotide biosynthetic process
gene=tadA	GO:0008270	zinc ion binding
gene=tadA	GO:0004132	dCMP deaminase activity
gene=queE_4	GO:1904047	S-adenosyl-L-methionine binding
gene=queE_4	GO:0008616	queuosine biosynthetic process
gene=queE_4	GO:0000287	magnesium ion binding
gene=queE_4	GO:0016840	carbon-nitrogen lyase activity
gene=queE_4	GO:0051539	4 iron, 4 sulfur cluster binding
gene=msrAB	GO:0006464	cellular protein modification process
gene=msrAB	GO:0033743	peptide-methionine (R)-S-oxide reductase activity
gene=msrAB	GO:0030091	protein repair
gene=msrAB	GO:0008113	peptide-methionine (S)-S-oxide reductase activity
gene=msrAB	GO:0033744	L-methionine:thioredoxin-disulfide S-oxidoreductase activity
gene=msrAB	GO:0006979	response to oxidative stress
gene=nrdF_1	GO:0005971	ribonucleoside-diphosphate reductase complex
gene=nrdF_1	GO:0046872	metal ion binding
gene=nrdF_1	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdF_1	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdF_1	GO:0006260	DNA replication
gene=uppS	GO:0000287	magnesium ion binding
gene=uppS	GO:0004659	prenyltransferase activity
gene=uvrD1	GO:0016887	ATP hydrolysis activity
gene=uvrD1	GO:0006268	DNA unwinding involved in DNA replication
gene=uvrD1	GO:0003678	DNA helicase activity
gene=uvrD1	GO:0005737	cytoplasm
gene=uvrD1	GO:0003677	DNA binding
gene=uvrD1	GO:0005524	ATP binding
gene=uvrD1	GO:0006281	DNA repair
gene=yycJ	GO:0046872	metal ion binding
gene=yycJ	GO:0016787	hydrolase activity
gene=sohB	GO:0046797	viral procapsid maturation
gene=sohB	GO:0019028	viral capsid
gene=sohB	GO:0042802	identical protein binding
gene=sohB	GO:0008236	serine-type peptidase activity
gene=sohB	GO:0030430	host cell cytoplasm
gene=lon	GO:0003689	DNA clamp loader activity
gene=lon	GO:0016887	ATP hydrolysis activity
gene=lon	GO:0006260	DNA replication
gene=lon	GO:0003677	DNA binding
gene=lon	GO:0005524	ATP binding
gene=lon	GO:0039686	bidirectional double-stranded viral DNA replication
gene=pelA_3	GO:0046872	metal ion binding
gene=pelA_3	GO:0000272	polysaccharide catabolic process
gene=pelA_3	GO:0005576	extracellular region
gene=pelA_3	GO:0030570	pectate lyase activity
gene=pelA_3	GO:0071555	cell wall organization
gene=nrdF_2	GO:0005971	ribonucleoside-diphosphate reductase complex
gene=nrdF_2	GO:0046872	metal ion binding
gene=nrdF_2	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdF_2	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdF_2	GO:0006260	DNA replication
gene=dgk	GO:0005524	ATP binding
gene=dgk	GO:0004138	deoxyguanosine kinase activity
protein=27-O-demethylrifamycin	GO:0008168	methyltransferase activity
protein=27-O-demethylrifamycin	GO:0032259	methylation
gene=uvsE	GO:0004519	endonuclease activity
gene=uvsE	GO:0009411	response to UV
gene=uvsE	GO:0006289	nucleotide-excision repair
gene=uvsE	GO:0006290	pyrimidine dimer repair
gene=prkC_2	GO:0004674	protein serine/threonine kinase activity
gene=prkC_2	GO:0005524	ATP binding
gene=prkC_2	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=prkC_2	GO:0106310	protein serine kinase activity
gene=wbnK	GO:0009243	O antigen biosynthetic process
gene=wbnK	GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity
gene=wbnK	GO:0016020	membrane
gene=betA_2	GO:0016021	integral component of membrane
gene=betA_2	GO:0033644	host cell membrane
gene=betA_2	GO:0042802	identical protein binding
gene=betA_2	GO:0050660	flavin adenine dinucleotide binding
gene=betA_2	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
gene=dadD	GO:0046872	metal ion binding
gene=dadD	GO:0050270	S-adenosylhomocysteine deaminase activity
gene=dadD	GO:0090614	5'-methylthioadenosine deaminase activity
gene=intQ	GO:0006310	DNA recombination
gene=intQ	GO:0044826	viral genome integration into host DNA
gene=intQ	GO:0075713	establishment of integrated proviral latency
gene=intQ	GO:0015074	DNA integration
gene=intQ	GO:0046718	viral entry into host cell
gene=intQ	GO:0003677	DNA binding
gene=erg	GO:0016021	integral component of membrane
gene=erg	GO:0050661	NADP binding
gene=erg	GO:0047598	7-dehydrocholesterol reductase activity
gene=erg	GO:0006695	cholesterol biosynthetic process
gene=lytB_1	GO:0004040	amidase activity
gene=lytB_1	GO:0005576	extracellular region
gene=lytB_1	GO:0033925	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
gene=lytB_1	GO:0071555	cell wall organization
gene=hpaIIM	GO:0003886	DNA (cytosine-5-)-methyltransferase activity
gene=hpaIIM	GO:0009307	DNA restriction-modification system
gene=entA	GO:0046872	metal ion binding
gene=entA	GO:0005576	extracellular region
gene=entA	GO:0090729	toxin activity
gene=torI	GO:0006310	DNA recombination
gene=torI	GO:0003677	DNA binding
gene=rpoC_1	GO:0046872	metal ion binding
gene=rpoC_1	GO:0001055	RNA polymerase II activity
gene=rpoC_1	GO:0003968	RNA-directed 5'-3' RNA polymerase activity
gene=rpoC_1	GO:0005665	RNA polymerase II, core complex
gene=rpoC_1	GO:0000785	chromatin
gene=rpoC_1	GO:0006368	transcription elongation from RNA polymerase II promoter
gene=rpoC_1	GO:0019985	translesion synthesis
gene=rpoC_1	GO:0003677	DNA binding
gene=rpoC_1	GO:0006367	transcription initiation from RNA polymerase II promoter
gene=cspA	GO:0070935	3'-UTR-mediated mRNA stabilization
gene=cspA	GO:0010494	cytoplasmic stress granule
gene=cspA	GO:0046628	positive regulation of insulin receptor signaling pathway
gene=cspA	GO:0003729	mRNA binding
gene=cspA	GO:0048477	oogenesis
gene=cspA	GO:2000648	positive regulation of stem cell proliferation
gene=cspA	GO:0048621	post-embryonic digestive tract morphogenesis
gene=cspA	GO:0098724	symmetric stem cell division
gene=cspA	GO:0003730	mRNA 3'-UTR binding
gene=cspA	GO:0060250	germ-line stem-cell niche homeostasis
gene=cspA	GO:0005829	cytosol
gene=cspA	GO:0010608	post-transcriptional regulation of gene expression
gene=cspA	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT
gene=cspA	GO:2000632	negative regulation of pre-miRNA processing
gene=cspA	GO:0008270	zinc ion binding
gene=banIM	GO:0003886	DNA (cytosine-5-)-methyltransferase activity
gene=banIM	GO:0009307	DNA restriction-modification system
gene=aroK	GO:0005654	nucleoplasm
gene=aroK	GO:0005730	nucleolus
gene=aroK	GO:0016887	ATP hydrolysis activity
gene=aroK	GO:0005634	nucleus
gene=aroK	GO:0006364	rRNA processing
gene=aroK	GO:0030687	preribosome, large subunit precursor
gene=aroK	GO:0045111	intermediate filament cytoskeleton
gene=aroK	GO:0016020	membrane
gene=aroK	GO:0005829	cytosol
gene=aroK	GO:0000027	ribosomal large subunit assembly
gene=aroK	GO:0005524	ATP binding
gene=yjoB	GO:0016021	integral component of membrane
gene=yjoB	GO:0008320	protein transmembrane transporter activity
gene=yjoB	GO:0034551	mitochondrial respiratory chain complex III assembly
gene=yjoB	GO:0016887	ATP hydrolysis activity
gene=yjoB	GO:0042626	ATPase-coupled transmembrane transporter activity
gene=yjoB	GO:0051131	chaperone-mediated protein complex assembly
gene=yjoB	GO:0032979	protein insertion into mitochondrial inner membrane from matrix
gene=yjoB	GO:0005758	mitochondrial intermembrane space
gene=yjoB	GO:0005829	cytosol
gene=yjoB	GO:0005743	mitochondrial inner membrane
gene=yjoB	GO:0005739	mitochondrion
gene=yjoB	GO:0005524	ATP binding
gene=novN	GO:0009058	biosynthetic process
gene=novN	GO:0016740	transferase activity
gene=novN	GO:0005737	cytoplasm
gene=parM	GO:0042802	identical protein binding
gene=parM	GO:0030541	plasmid partitioning
gene=purH_2	GO:0003937	IMP cyclohydrolase activity
gene=purH_2	GO:0006189	'de novo' IMP biosynthetic process
gene=purH_2	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
gene=cwlH	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
gene=cwlH	GO:0009254	peptidoglycan turnover
gene=cwlH	GO:0009253	peptidoglycan catabolic process
gene=cwlH	GO:0030435	sporulation resulting in formation of a cellular spore
gene=cwlH	GO:0005576	extracellular region
gene=cwlH	GO:0071555	cell wall organization
gene=cwlH	GO:0030420	establishment of competence for transformation
gene=lyc	GO:0042742	defense response to bacterium
gene=lyc	GO:0016998	cell wall macromolecule catabolic process
gene=lyc	GO:0019835	cytolysis
gene=lyc	GO:0009253	peptidoglycan catabolic process
gene=lyc	GO:0003796	lysozyme activity
gene=nrdB_2	GO:0046872	metal ion binding
gene=nrdB_2	GO:0006260	DNA replication
gene=nrdB_2	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdB_2	GO:0009263	deoxyribonucleotide biosynthetic process
gene=fabG	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
gene=fabG	GO:0009107	lipoate biosynthetic process
gene=fabG	GO:0005739	mitochondrion
gene=fabG	GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
gene=flgJ	GO:0044780	bacterial-type flagellum assembly
gene=flgJ	GO:0008152	metabolic process
gene=flgJ	GO:0042597	periplasmic space
gene=flgJ	GO:0004040	amidase activity
gene=flgJ	GO:0016798	hydrolase activity, acting on glycosyl bonds
gene=flgJ	GO:0071973	bacterial-type flagellum-dependent cell motility
gene=flgJ	GO:0071555	cell wall organization
gene=spoVT	GO:0030435	sporulation resulting in formation of a cellular spore
gene=spoVT	GO:0042802	identical protein binding
gene=spoVT	GO:0003677	DNA binding
gene=eccA1	GO:0016887	ATP hydrolysis activity
gene=eccA1	GO:0005524	ATP binding
protein=L-methionine	GO:0008080	N-acetyltransferase activity
protein=L-methionine	GO:0005737	cytoplasm
protein=Thioredoxin-like	GO:0005788	endoplasmic reticulum lumen
protein=Thioredoxin-like	GO:0042470	melanosome
protein=Thioredoxin-like	GO:0003756	protein disulfide isomerase activity
gene=stp	GO:0016021	integral component of membrane
gene=stp	GO:0022857	transmembrane transporter activity
gene=stp	GO:0046677	response to antibiotic
gene=stp	GO:0005886	plasma membrane
gene=rnhA	GO:0000287	magnesium ion binding
gene=rnhA	GO:0004523	RNA-DNA hybrid ribonuclease activity
gene=rnhA	GO:0005737	cytoplasm
gene=rnhA	GO:0006401	RNA catabolic process
gene=rnhA	GO:0003676	nucleic acid binding
gene=repB	GO:0006270	DNA replication initiation
gene=repB	GO:0003677	DNA binding
gene=repB	GO:0006276	plasmid maintenance
gene=repB	GO:0003887	DNA-directed DNA polymerase activity
gene=aguA	GO:0009446	putrescine biosynthetic process
gene=aguA	GO:0004668	protein-arginine deiminase activity
gene=aguA	GO:0047632	agmatine deiminase activity
gene=groS3	GO:0046872	metal ion binding
gene=groS3	GO:0051082	unfolded protein binding
gene=groS3	GO:0016887	ATP hydrolysis activity
gene=groS3	GO:0051085	chaperone cofactor-dependent protein refolding
gene=groS3	GO:0005737	cytoplasm
gene=groS3	GO:0051087	chaperone binding
gene=groS3	GO:0005524	ATP binding
gene=eccC	GO:0016021	integral component of membrane
gene=eccC	GO:0005524	ATP binding
gene=eccC	GO:0003677	DNA binding
gene=eccC	GO:0005886	plasma membrane
gene=speG	GO:0008080	N-acetyltransferase activity
gene=arcA	GO:0019546	arginine deiminase pathway
gene=arcA	GO:0016990	arginine deiminase activity
gene=nrdB_1	GO:0046872	metal ion binding
gene=nrdB_1	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process
gene=nrdB_1	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdB_1	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdB_1	GO:0006260	DNA replication
gene=nrdB_1	GO:0005829	cytosol
gene=ypcP	GO:0046872	metal ion binding
gene=ypcP	GO:0033567	DNA replication, Okazaki fragment processing
gene=ypcP	GO:0019034	viral replication complex
gene=ypcP	GO:0035312	5'-3' exodeoxyribonuclease activity
gene=ypcP	GO:0017108	5'-flap endonuclease activity
gene=ypcP	GO:1990238	double-stranded DNA endodeoxyribonuclease activity
gene=ypcP	GO:0019086	late viral transcription
gene=ypcP	GO:0004529	exodeoxyribonuclease activity
gene=ypcP	GO:0008409	5'-3' exonuclease activity
gene=ypcP	GO:0003677	DNA binding
gene=ypcP	GO:0039693	viral DNA genome replication
gene=cwlD	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
gene=cwlD	GO:0005576	extracellular region
gene=cwlD	GO:0071555	cell wall organization
gene=cwlD	GO:0009253	peptidoglycan catabolic process
gene=polA_3	GO:0008408	3'-5' exonuclease activity
gene=polA_3	GO:0006284	base-excision repair
gene=polA_3	GO:0006261	DNA-templated DNA replication
gene=polA_3	GO:0008409	5'-3' exonuclease activity
gene=polA_3	GO:0005737	cytoplasm
gene=polA_3	GO:0006302	double-strand break repair
gene=polA_3	GO:0006260	DNA replication
gene=polA_3	GO:0003677	DNA binding
gene=polA_3	GO:0005829	cytosol
gene=polA_3	GO:0006281	DNA repair
gene=polA_3	GO:0003887	DNA-directed DNA polymerase activity
gene=topA_2	GO:0046872	metal ion binding
gene=topA_2	GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity
gene=topA_2	GO:0005694	chromosome
gene=topA_2	GO:0006265	DNA topological change
gene=topA_2	GO:0003677	DNA binding
gene=csgG	GO:0005886	plasma membrane
gene=csgG	GO:0030288	outer membrane-bounded periplasmic space
gene=tauB	GO:0005524	ATP binding
gene=tauB	GO:0005886	plasma membrane
gene=iap	GO:0005576	extracellular region
gene=iap	GO:0009986	cell surface
gene=iap	GO:0008234	cysteine-type peptidase activity
gene=pncA	GO:0016787	hydrolase activity
gene=dnaE1	GO:0008408	3'-5' exonuclease activity
gene=dnaE1	GO:0006260	DNA replication
gene=dnaE1	GO:0003887	DNA-directed DNA polymerase activity
gene=dnaE1	GO:0005737	cytoplasm
gene=aer	GO:0006935	chemotaxis
gene=aer	GO:0052131	positive aerotaxis
gene=aer	GO:0005886	plasma membrane
gene=aer	GO:0007165	signal transduction
gene=aer	GO:0005887	integral component of plasma membrane
gene=aer	GO:0004888	transmembrane signaling receptor activity
gene=aer	GO:0042802	identical protein binding
gene=purL_1	GO:0075733	intracellular transport of virus
gene=purL_1	GO:0043657	host cell
gene=purL_1	GO:0019033	viral tegument
gene=tal_1	GO:0005975	carbohydrate metabolic process
gene=tal_1	GO:0005737	cytoplasm
gene=tal_1	GO:0004801	transaldolase activity
gene=tal_1	GO:0016832	aldehyde-lyase activity
gene=tal_1	GO:0006098	pentose-phosphate shunt
gene=metB	GO:0016740	transferase activity
gene=metB	GO:0009086	methionine biosynthetic process
gene=metB	GO:0051009	O-acetylhomoserine sulfhydrylase activity
gene=metB	GO:0030170	pyridoxal phosphate binding
gene=metB	GO:0019346	transsulfuration
gene=whiB_2	GO:0046872	metal ion binding
gene=whiB_2	GO:0005737	cytoplasm
gene=whiB_2	GO:0045454	cell redox homeostasis
gene=whiB_2	GO:0030435	sporulation resulting in formation of a cellular spore
gene=whiB_2	GO:0051539	4 iron, 4 sulfur cluster binding
gene=whiB_2	GO:0003677	DNA binding
gene=whiB_2	GO:0035731	dinitrosyl-iron complex binding
gene=whiB_2	GO:0047134	protein-disulfide reductase (NAD(P)) activity
gene=whiB_2	GO:0045892	negative regulation of transcription, DNA-templated
gene=thyA_1	GO:0047153	deoxycytidylate 5-hydroxymethyltransferase activity
gene=rtp	GO:0006274	DNA replication termination
gene=rtp	GO:0003677	DNA binding
gene=pls	GO:0046718	viral entry into host cell
gene=pls	GO:0098024	virus tail, fiber
gene=pls	GO:0098671	adhesion receptor-mediated virion attachment to host cell
gene=icaA	GO:0016021	integral component of membrane
gene=icaA	GO:0008375	acetylglucosaminyltransferase activity
gene=icaA	GO:0043708	cell adhesion involved in biofilm formation
gene=icaA	GO:0005886	plasma membrane
gene=metG	GO:0005524	ATP binding
gene=metG	GO:0006431	methionyl-tRNA aminoacylation
gene=metG	GO:0004825	methionine-tRNA ligase activity
gene=metG	GO:0003723	RNA binding
gene=pknB_2	GO:0051403	stress-activated MAPK cascade
gene=pknB_2	GO:0000785	chromatin
gene=pknB_2	GO:0034599	cellular response to oxidative stress
gene=pknB_2	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity
gene=pknB_2	GO:0005737	cytoplasm
gene=pknB_2	GO:1904789	regulation of mitotic actomyosin contractile ring maintenance
gene=pknB_2	GO:0045944	positive regulation of transcription by RNA polymerase II
gene=pknB_2	GO:0035556	intracellular signal transduction
gene=pknB_2	GO:0004707	MAP kinase activity
gene=pknB_2	GO:0005524	ATP binding
gene=pknB_2	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle
gene=pknB_2	GO:0071470	cellular response to osmotic stress
gene=pknB_2	GO:0010520	regulation of reciprocal meiotic recombination
gene=pknB_2	GO:0051445	regulation of meiotic cell cycle
gene=pknB_2	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle
gene=pknB_2	GO:0010515	negative regulation of induction of conjugation with cellular fusion
gene=pknB_2	GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress
gene=pknB_2	GO:2001165	positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues
gene=pknB_2	GO:0042307	positive regulation of protein import into nucleus
gene=pknB_2	GO:0005758	mitochondrial intermembrane space
gene=pknB_2	GO:0005743	mitochondrial inner membrane
gene=pknB_2	GO:0038066	p38MAPK cascade
gene=pknB_2	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=pknB_2	GO:1903715	regulation of aerobic respiration
gene=pknB_2	GO:0004674	protein serine/threonine kinase activity
gene=pknB_2	GO:0010494	cytoplasmic stress granule
gene=pknB_2	GO:0005634	nucleus
gene=pknB_2	GO:0106310	protein serine kinase activity
gene=pknB_2	GO:1990625	negative regulation of cytoplasmic translational initiation in response to stress
gene=pknB_2	GO:0005829	cytosol
gene=pknB_2	GO:0007231	osmosensory signaling pathway
gene=whiB2_2	GO:0046872	metal ion binding
gene=whiB2_2	GO:0005737	cytoplasm
gene=whiB2_2	GO:0051539	4 iron, 4 sulfur cluster binding
gene=whiB2_2	GO:0003677	DNA binding
gene=whiB2_2	GO:0035731	dinitrosyl-iron complex binding
gene=whiB2_2	GO:0006355	regulation of transcription, DNA-templated
gene=xerD_1	GO:0006310	DNA recombination
gene=xerD_1	GO:0044826	viral genome integration into host DNA
gene=xerD_1	GO:0075713	establishment of integrated proviral latency
gene=xerD_1	GO:0015074	DNA integration
gene=xerD_1	GO:0046718	viral entry into host cell
gene=xerD_1	GO:0003677	DNA binding
gene=dcd	GO:0008829	dCTP deaminase activity
gene=dcd	GO:0006226	dUMP biosynthetic process
gene=dcd	GO:0000166	nucleotide binding
gene=dcd	GO:0006229	dUTP biosynthetic process
gene=wbiB	GO:0003978	UDP-glucose 4-epimerase activity
gene=wbiB	GO:0006012	galactose metabolic process
gene=gmk	GO:0005524	ATP binding
gene=gmk	GO:0004385	guanylate kinase activity
gene=gmk	GO:0005737	cytoplasm
gene=immR_3	GO:0003677	DNA binding
gene=xlyA	GO:0004222	metalloendopeptidase activity
gene=xlyA	GO:0005886	plasma membrane
gene=xlyA	GO:0009279	cell outer membrane
gene=xlyA	GO:0032153	cell division site
gene=xlyA	GO:0000920	septum digestion after cytokinesis
gene=queF	GO:0046857	oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor
gene=queF	GO:0008616	queuosine biosynthetic process
gene=queF	GO:0033739	preQ1 synthase activity
gene=queF	GO:0005737	cytoplasm
gene=ogt	GO:0006281	DNA repair
gene=ogt	GO:0032259	methylation
gene=ogt	GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
gene=psbA1	GO:0016021	integral component of membrane
gene=psbA1	GO:0005506	iron ion binding
