gene_id	ko	pathway
gene=nrdB_1	ko00480	Glutathione metabolism [PATH:ko00480]
gene=nrdB_1	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
gene=nrdB_1	ko04115	p53 signaling pathway [PATH:ko04115]
gene=nrdB_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=cwlD	ko01503	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
gene=cwlD	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=cwlD	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=polA_3	ko03030	DNA replication [PATH:ko03030]
gene=polA_3	ko03410	Base excision repair [PATH:ko03410]
gene=polA_3	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=polA_3	ko03440	Homologous recombination [PATH:ko03440]
gene=polA_3	ko03032	DNA replication proteins [BR:ko03032]
gene=polA_3	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=topA_2	ko03032	DNA replication proteins [BR:ko03032]
gene=topA_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ubiB	99987	Cofactor metabolism
gene=csgG	ko02044	Secretion system [BR:ko02044]
gene=tauB	ko02000	Transporters [BR:ko02000]
gene=dnaE1	ko03030	DNA replication [PATH:ko03030]
gene=dnaE1	ko03430	Mismatch repair [PATH:ko03430]
gene=dnaE1	ko03440	Homologous recombination [PATH:ko03440]
gene=dnaE1	ko03032	DNA replication proteins [BR:ko03032]
gene=dnaE1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=aer	ko02020	Two-component system [PATH:ko02020]
gene=aer	ko02030	Bacterial chemotaxis [PATH:ko02030]
gene=aer	ko02035	Bacterial motility proteins [BR:ko02035]
gene=purL_1	ko00230	Purine metabolism [PATH:ko00230]
gene=tal_1	99980	Enzymes with EC numbers
gene=metG	ko00450	Selenocompound metabolism [PATH:ko00450]
gene=metG	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=metG	ko01007	Amino acid related enzymes [BR:ko01007]
gene=metG	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=pknB_2	ko04657	IL-17 signaling pathway [PATH:ko04657]
gene=pknB_2	ko01001	Protein kinases [BR:ko01001]
gene=whiB2_2	ko03000	Transcription factors [BR:ko03000]
gene=dcd	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=gmk	ko00230	Purine metabolism [PATH:ko00230]
gene=queF	ko00790	Folate biosynthesis [PATH:ko00790]
gene=queF	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=ogt	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=psbA1	ko00195	Photosynthesis [PATH:ko00195]
gene=psbA1	ko00194	Photosynthesis proteins [BR:ko00194]
gene=pilQ	ko02044	Secretion system [BR:ko02044]
gene=pilQ	ko02035	Bacterial motility proteins [BR:ko02035]
protein=putative	99976	Replication and repair
gene=ydiP	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=ydiP	ko05206	MicroRNAs in cancer [PATH:ko05206]
gene=ydiP	ko03000	Transcription factors [BR:ko03000]
gene=ydiP	ko03032	DNA replication proteins [BR:ko03032]
gene=ydiP	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=ydiP	ko02048	Prokaryotic defense system [BR:ko02048]
gene=haeIIIM_1	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=haeIIIM_1	ko05206	MicroRNAs in cancer [PATH:ko05206]
gene=haeIIIM_1	ko03000	Transcription factors [BR:ko03000]
gene=haeIIIM_1	ko03032	DNA replication proteins [BR:ko03032]
gene=haeIIIM_1	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=haeIIIM_1	ko02048	Prokaryotic defense system [BR:ko02048]
gene=mtcA2	ko00910	Nitrogen metabolism [PATH:ko00910]
gene=xseA	ko03430	Mismatch repair [PATH:ko03430]
gene=xseA	ko03400	DNA repair and recombination proteins [BR:ko03400]
protein=putative	99976	Replication and repair
gene=rapG	ko02024	Quorum sensing [PATH:ko02024]
gene=recE_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=rmlD	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=rmlD	ko00523	Polyketide sugar unit biosynthesis [PATH:ko00523]
gene=rmlD	ko00521	Streptomycin biosynthesis [PATH:ko00521]
gene=isp	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=lacA	99980	Enzymes with EC numbers
gene=recQ	ko03018	RNA degradation [PATH:ko03018]
gene=recQ	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=recQ	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=clpX	ko04112	Cell cycle - Caulobacter [PATH:ko04112]
gene=clpX	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=exoX	ko03430	Mismatch repair [PATH:ko03430]
gene=exoX	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=rlmI	ko03009	Ribosome biogenesis [BR:ko03009]
gene=exo	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=exo	ko00600	Sphingolipid metabolism [PATH:ko00600]
gene=exo	ko00513	Various types of N-glycan biosynthesis [PATH:ko00513]
gene=exo	ko00531	Glycosaminoglycan degradation [PATH:ko00531]
gene=exo	ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603]
gene=exo	ko00604	Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604]
gene=exo	ko00511	Other glycan degradation [PATH:ko00511]
gene=exo	ko04142	Lysosome [PATH:ko04142]
gene=exo	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=mboIIM_2	ko02048	Prokaryotic defense system [BR:ko02048]
gene=dinI	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=dcm	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=dcm	ko05206	MicroRNAs in cancer [PATH:ko05206]
gene=dcm	ko03000	Transcription factors [BR:ko03000]
gene=dcm	ko03032	DNA replication proteins [BR:ko03032]
gene=dcm	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=dcm	ko02048	Prokaryotic defense system [BR:ko02048]
gene=rrrD	99980	Enzymes with EC numbers
protein=Thioredoxin	ko04621	NOD-like receptor signaling pathway [PATH:ko04621]
protein=Thioredoxin	ko05132	Salmonella infection [PATH:ko05132]
protein=Thioredoxin	ko05012	Parkinson disease [PATH:ko05012]
protein=Thioredoxin	ko05418	Fluid shear stress and atherosclerosis [PATH:ko05418]
protein=Thioredoxin	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=wbgU	ko00052	Galactose metabolism [PATH:ko00052]
gene=wbgU	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=wbgU	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=lagD	ko02010	ABC transporters [PATH:ko02010]
gene=lagD	ko02024	Quorum sensing [PATH:ko02024]
gene=lagD	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=lagD	ko02000	Transporters [BR:ko02000]
gene=sigB	ko03021	Transcription machinery [BR:ko03021]
gene=gyrA	ko03032	DNA replication proteins [BR:ko03032]
gene=gyrA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=purM	ko00230	Purine metabolism [PATH:ko00230]
gene=yjoB_1	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=sufU	99982	Energy metabolism
gene=hupA	ko03032	DNA replication proteins [BR:ko03032]
gene=hupA	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=hupA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=zwf	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=zwf	ko00480	Glutathione metabolism [PATH:ko00480]
gene=zwf	ko05230	Central carbon metabolism in cancer [PATH:ko05230]
gene=zwf	ko05415	Diabetic cardiomyopathy [PATH:ko05415]
gene=zwf	ko04147	Exosome [BR:ko04147]
gene=ldhA	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=rlpA	99992	Structural proteins
gene=lysS	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=lysS	ko01007	Amino acid related enzymes [BR:ko01007]
gene=lysS	ko03016	Transfer RNA biogenesis [BR:ko03016]
protein=6-phosphogluconate	ko00030	Pentose phosphate pathway [PATH:ko00030]
protein=6-phosphogluconate	ko00480	Glutathione metabolism [PATH:ko00480]
gene=acoA	ko00640	Propanoate metabolism [PATH:ko00640]
gene=acoA	ko00280	Valine, leucine and isoleucine degradation [PATH:ko00280]
gene=gmd	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=gmd	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=gmd	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=cypB	ko00071	Fatty acid degradation [PATH:ko00071]
gene=cypB	ko00380	Tryptophan metabolism [PATH:ko00380]
gene=cypB	ko00627	Aminobenzoate degradation [PATH:ko00627]
gene=cypB	ko00199	Cytochrome P450 [BR:ko00199]
gene=yehU	ko01001	Protein kinases [BR:ko01001]
gene=yehU	ko02022	Two-component system [BR:ko02022]
gene=hup	ko03032	DNA replication proteins [BR:ko03032]
gene=hup	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=hup	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=paeR7IM	ko02048	Prokaryotic defense system [BR:ko02048]
gene=cwlK	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=cwlK	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=psbD	ko00195	Photosynthesis [PATH:ko00195]
gene=psbD	ko00194	Photosynthesis proteins [BR:ko00194]
gene=phrB_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=iap_2	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=iap_2	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=pnbA	ko00564	Glycerophospholipid metabolism [PATH:ko00564]
gene=pnbA	ko04725	Cholinergic synapse [PATH:ko04725]
gene=pnbA	ko00537	Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537]
gene=hhaIM_2	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=hhaIM_2	ko05206	MicroRNAs in cancer [PATH:ko05206]
gene=hhaIM_2	ko03000	Transcription factors [BR:ko03000]
gene=hhaIM_2	ko03032	DNA replication proteins [BR:ko03032]
gene=hhaIM_2	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=hhaIM_2	ko02048	Prokaryotic defense system [BR:ko02048]
gene=mboIIM_1	ko02048	Prokaryotic defense system [BR:ko02048]
gene=dut_1	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=dut_1	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
gene=dut_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=masK	ko01001	Protein kinases [BR:ko01001]
gene=nfo	ko03410	Base excision repair [PATH:ko03410]
gene=nfo	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=yojM	ko04146	Peroxisome [PATH:ko04146]
gene=yojM	ko04213	Longevity regulating pathway - multiple species [PATH:ko04213]
gene=yojM	ko05208	Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]
gene=yojM	ko05012	Parkinson disease [PATH:ko05012]
gene=yojM	ko05014	Amyotrophic lateral sclerosis [PATH:ko05014]
gene=yojM	ko05016	Huntington disease [PATH:ko05016]
gene=yojM	ko05020	Prion disease [PATH:ko05020]
gene=yojM	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=glxK	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=glxK	ko00561	Glycerolipid metabolism [PATH:ko00561]
gene=glxK	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=pcm	99980	Enzymes with EC numbers
gene=bla	ko00311	Penicillin and cephalosporin biosynthesis [PATH:ko00311]
gene=bla	ko01501	beta-Lactam resistance [PATH:ko01501]
gene=bla	ko01504	Antimicrobial resistance genes [BR:ko01504]
gene=ubiB_2	ko01001	Protein kinases [BR:ko01001]
gene=ssbA	ko03030	DNA replication [PATH:ko03030]
gene=ssbA	ko03430	Mismatch repair [PATH:ko03430]
gene=ssbA	ko03440	Homologous recombination [PATH:ko03440]
gene=ssbA	ko03032	DNA replication proteins [BR:ko03032]
gene=ssbA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ssbA	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=ravA	99980	Enzymes with EC numbers
protein=Actin-binding	ko03051	Proteasome [BR:ko03051]
gene=gluP	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=dprA	99976	Replication and repair
gene=dprA	99979	Unclassified viral proteins
gene=ctrA	ko02022	Two-component system [BR:ko02022]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=eno	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=eno	ko00680	Methane metabolism [PATH:ko00680]
gene=eno	ko03018	RNA degradation [PATH:ko03018]
gene=eno	ko04066	HIF-1 signaling pathway [PATH:ko04066]
gene=eno	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=eno	ko04147	Exosome [BR:ko04147]
gene=pknL	ko01001	Protein kinases [BR:ko01001]
gene=rpfD	99986	Glycan metabolism
gene=hslU	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=nrdA_2	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdA_2	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdA_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=chp1	99980	Enzymes with EC numbers
gene=rtcB	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=thyA_2	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=thyA_2	ko00790	Folate biosynthesis [PATH:ko00790]
gene=thyA_2	ko00670	One carbon pool by folate [PATH:ko00670]
gene=helD	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=helD	ko03430	Mismatch repair [PATH:ko03430]
gene=helD	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=pphB	99980	Enzymes with EC numbers
gene=aroD	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]
protein=putative	99976	Replication and repair
gene=betA_1	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=cca	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=tufB	ko03012	Translation factors [BR:ko03012]
gene=pnbA_2	99980	Enzymes with EC numbers
gene=prkC_5	ko04010	MAPK signaling pathway [PATH:ko04010]
gene=prkC_5	ko01001	Protein kinases [BR:ko01001]
gene=sigF_1	ko02020	Two-component system [PATH:ko02020]
gene=sigF_1	ko05111	Biofilm formation - Vibrio cholerae [PATH:ko05111]
gene=sigF_1	ko02025	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
gene=sigF_1	ko02026	Biofilm formation - Escherichia coli [PATH:ko02026]
gene=sigF_1	ko02040	Flagellar assembly [PATH:ko02040]
gene=sigF_1	ko03021	Transcription machinery [BR:ko03021]
gene=sigF_1	ko02035	Bacterial motility proteins [BR:ko02035]
gene=nrdZ	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdZ	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdZ	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=psaD	ko00195	Photosynthesis [PATH:ko00195]
gene=psaD	ko00194	Photosynthesis proteins [BR:ko00194]
gene=dnaX_1	ko03030	DNA replication [PATH:ko03030]
gene=dnaX_1	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=dnaX_1	ko03430	Mismatch repair [PATH:ko03430]
gene=dnaX_1	ko03032	DNA replication proteins [BR:ko03032]
gene=dnaX_1	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=dnaX_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=rfbD	ko00052	Galactose metabolism [PATH:ko00052]
gene=rfbD	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=rfbD	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=fiu	ko02000	Transporters [BR:ko02000]
gene=rapA_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=rlmCD_1	ko03009	Ribosome biogenesis [BR:ko03009]
gene=recA_1	ko03440	Homologous recombination [PATH:ko03440]
gene=recA_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=macB	ko02000	Transporters [BR:ko02000]
gene=pelA_1	ko00040	Pentose and glucuronate interconversions [PATH:ko00040]
gene=pelA_1	ko02024	Quorum sensing [PATH:ko02024]
gene=rpe	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=rpe	ko00040	Pentose and glucuronate interconversions [PATH:ko00040]
gene=rpe	ko00710	Carbon fixation in photosynthetic organisms [PATH:ko00710]
gene=nrdD	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdD	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=cysS	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=cysS	ko01007	Amino acid related enzymes [BR:ko01007]
gene=cysS	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=panD	ko00410	beta-Alanine metabolism [PATH:ko00410]
gene=panD	ko00770	Pantothenate and CoA biosynthesis [PATH:ko00770]
gene=dps2	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=mepH	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=mepH	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=acsAB	ko01003	Glycosyltransferases [BR:ko01003]
gene=glf	ko00052	Galactose metabolism [PATH:ko00052]
gene=glf	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=glf	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=psaA	ko00195	Photosynthesis [PATH:ko00195]
gene=psaA	ko00194	Photosynthesis proteins [BR:ko00194]
gene=nrdB	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdB	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdB	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=holE	ko03030	DNA replication [PATH:ko03030]
gene=holE	ko03430	Mismatch repair [PATH:ko03430]
gene=holE	ko03440	Homologous recombination [PATH:ko03440]
gene=holE	ko03032	DNA replication proteins [BR:ko03032]
gene=holE	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=hicA	ko02048	Prokaryotic defense system [BR:ko02048]
gene=ubiE	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=dnaK	ko03040	Spliceosome [PATH:ko03040]
gene=dnaK	ko04141	Protein processing in endoplasmic reticulum [PATH:ko04141]
gene=dnaK	ko04010	MAPK signaling pathway [PATH:ko04010]
gene=dnaK	ko04144	Endocytosis [PATH:ko04144]
gene=dnaK	ko04612	Antigen processing and presentation [PATH:ko04612]
gene=dnaK	ko04915	Estrogen signaling pathway [PATH:ko04915]
gene=dnaK	ko04213	Longevity regulating pathway - multiple species [PATH:ko04213]
gene=dnaK	ko05162	Measles [PATH:ko05162]
gene=dnaK	ko05134	Legionellosis [PATH:ko05134]
gene=dnaK	ko05145	Toxoplasmosis [PATH:ko05145]
gene=dnaK	ko05020	Prion disease [PATH:ko05020]
gene=dnaK	ko05417	Lipid and atherosclerosis [PATH:ko05417]
gene=dnaK	ko01009	Protein phosphatases and associated proteins [BR:ko01009]
gene=dnaK	ko03041	Spliceosome [BR:ko03041]
gene=dnaK	ko03009	Ribosome biogenesis [BR:ko03009]
gene=dnaK	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=dnaK	ko04131	Membrane trafficking [BR:ko04131]
gene=dnaK	ko03051	Proteasome [BR:ko03051]
gene=dnaK	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=dnaK	ko04147	Exosome [BR:ko04147]
gene=ptrA	ko05010	Alzheimer disease [PATH:ko05010]
gene=ptrA	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=yceD	99995	Signaling proteins
gene=pstS	ko02010	ABC transporters [PATH:ko02010]
gene=pstS	ko02020	Two-component system [PATH:ko02020]
gene=pstS	ko05152	Tuberculosis [PATH:ko05152]
gene=pstS	ko02000	Transporters [BR:ko02000]
gene=yokI	ko02048	Prokaryotic defense system [BR:ko02048]
gene=comEC_2	ko02044	Secretion system [BR:ko02044]
gene=spoIIIE	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=ftsH4	ko04138	Autophagy - yeast [PATH:ko04138]
