gene_id	ko	pathway
gene=rocF_2	ko05146	Amoebiasis [PATH:ko05146]
gene=yobK	ko02048	Prokaryotic defense system [BR:ko02048]
gene=bioF_1	ko00780	Biotin metabolism [PATH:ko00780]
gene=bioF_1	ko01007	Amino acid related enzymes [BR:ko01007]
gene=xthA_2	ko03410	Base excision repair [PATH:ko03410]
gene=xthA_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ratA	99987	Cofactor metabolism
gene=hmoA	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=besA_2	99980	Enzymes with EC numbers
gene=pstA2_1	ko02010	ABC transporters [PATH:ko02010]
gene=pstA2_1	ko02000	Transporters [BR:ko02000]
gene=hemH1	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=soj_5	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=soj_5	ko04812	Cytoskeleton proteins [BR:ko04812]
gene=gno_2	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]
gene=amiB2	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=amiB2	ko00360	Phenylalanine metabolism [PATH:ko00360]
gene=amiB2	ko00380	Tryptophan metabolism [PATH:ko00380]
gene=amiB2	ko00627	Aminobenzoate degradation [PATH:ko00627]
gene=amiB2	ko00643	Styrene degradation [PATH:ko00643]
gene=ppaX_4	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=cwlM	ko01503	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
gene=cwlM	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=cwlM	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=rluA_2	ko03009	Ribosome biogenesis [BR:ko03009]
gene=rluA_2	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=nusG_2	ko03021	Transcription machinery [BR:ko03021]
gene=nusG_2	ko03009	Ribosome biogenesis [BR:ko03009]
gene=dppB_1	ko02010	ABC transporters [PATH:ko02010]
gene=dppB_1	ko02000	Transporters [BR:ko02000]
gene=licA_4	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=licA_4	ko02060	Phosphotransferase system (PTS) [PATH:ko02060]
gene=licA_4	ko02000	Transporters [BR:ko02000]
gene=pphB	99980	Enzymes with EC numbers
gene=mtcA2_2	ko00910	Nitrogen metabolism [PATH:ko00910]
gene=ydaF_1	ko03009	Ribosome biogenesis [BR:ko03009]
gene=hemX	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=livH_7	ko02010	ABC transporters [PATH:ko02010]
gene=livH_7	ko02024	Quorum sensing [PATH:ko02024]
gene=livH_7	ko02000	Transporters [BR:ko02000]
gene=petE_2	ko00195	Photosynthesis [PATH:ko00195]
gene=petE_2	ko00194	Photosynthesis proteins [BR:ko00194]
gene=rpsS_1	ko03010	Ribosome [PATH:ko03010]
gene=rpsS_1	ko03011	Ribosome [BR:ko03011]
gene=spiA_2	ko03070	Bacterial secretion system [PATH:ko03070]
gene=spiA_2	ko02044	Secretion system [BR:ko02044]
gene=dpp5_7	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=hlgC	ko05150	Staphylococcus aureus infection [PATH:ko05150]
gene=hlgC	ko02000	Transporters [BR:ko02000]
gene=hlgC	ko02042	Bacterial toxins [BR:ko02042]
gene=desK	ko02020	Two-component system [PATH:ko02020]
gene=desK	ko01001	Protein kinases [BR:ko01001]
gene=desK	ko02022	Two-component system [BR:ko02022]
gene=carD_3	99982	Energy metabolism
gene=cmpA	ko02010	ABC transporters [PATH:ko02010]
gene=cmpA	ko02000	Transporters [BR:ko02000]
gene=bfr	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=ygfA_2	ko00670	One carbon pool by folate [PATH:ko00670]
gene=spxA_8	99973	Transcription
gene=mug	ko03410	Base excision repair [PATH:ko03410]
gene=mug	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=atl	99976	Replication and repair
gene=deoR_3	ko03000	Transcription factors [BR:ko03000]
gene=brnQ_6	99977	Transport
gene=leuC1	ko00660	C5-Branched dibasic acid metabolism [PATH:ko00660]
gene=leuC1	ko00290	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]
gene=leuC1	ko00966	Glucosinolate biosynthesis [PATH:ko00966]
gene=ectB_3	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=ectB_3	ko01007	Amino acid related enzymes [BR:ko01007]
gene=uctC_8	ko00120	Primary bile acid biosynthesis [PATH:ko00120]
gene=uctC_8	ko04146	Peroxisome [PATH:ko04146]
gene=cysG_1	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=pks1_2	ko01004	Lipid biosynthesis proteins [BR:ko01004]
gene=prfC	ko03012	Translation factors [BR:ko03012]
protein=D-hydantoinase	ko00240	Pyrimidine metabolism [PATH:ko00240]
protein=D-hydantoinase	ko00410	beta-Alanine metabolism [PATH:ko00410]
protein=D-hydantoinase	ko00770	Pantothenate and CoA biosynthesis [PATH:ko00770]
protein=D-hydantoinase	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
protein=D-hydantoinase	ko04147	Exosome [BR:ko04147]
gene=ethR_7	ko03000	Transcription factors [BR:ko03000]
gene=trmB_2	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=moaD_3	ko04122	Sulfur relay system [PATH:ko04122]
gene=flhB_2	ko02044	Secretion system [BR:ko02044]
gene=purH_3	ko00230	Purine metabolism [PATH:ko00230]
gene=purH_3	ko00670	One carbon pool by folate [PATH:ko00670]
gene=purH_3	ko01523	Antifolate resistance [PATH:ko01523]
gene=purH_3	ko04147	Exosome [BR:ko04147]
gene=echA8_8	ko04146	Peroxisome [PATH:ko04146]
gene=hypD	99975	Protein processing
gene=sdhE	ko02048	Prokaryotic defense system [BR:ko02048]
gene=hns	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=hns	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ghxQ_2	ko02000	Transporters [BR:ko02000]
gene=metP_2	ko02010	ABC transporters [PATH:ko02010]
gene=metP_2	ko02000	Transporters [BR:ko02000]
gene=neo_1	ko01504	Antimicrobial resistance genes [BR:ko01504]
gene=hemB_1	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=hemB_1	ko04147	Exosome [BR:ko04147]
gene=rbsC_38	ko02010	ABC transporters [PATH:ko02010]
gene=rbsC_38	ko02000	Transporters [BR:ko02000]
gene=sat/cysC	ko00920	Sulfur metabolism [PATH:ko00920]
gene=sat/cysC	ko00230	Purine metabolism [PATH:ko00230]
gene=sat/cysC	ko00450	Selenocompound metabolism [PATH:ko00450]
gene=sat/cysC	ko00261	Monobactam biosynthesis [PATH:ko00261]
gene=hisP_8	ko02010	ABC transporters [PATH:ko02010]
gene=hisP_8	ko02000	Transporters [BR:ko02000]
gene=pelB	99980	Enzymes with EC numbers
gene=artM	ko02010	ABC transporters [PATH:ko02010]
gene=artM	ko02000	Transporters [BR:ko02000]
gene=yumC_2	99980	Enzymes with EC numbers
gene=ribY	ko02000	Transporters [BR:ko02000]
gene=ssuC	ko00920	Sulfur metabolism [PATH:ko00920]
gene=ssuC	ko02010	ABC transporters [PATH:ko02010]
gene=ssuC	ko02000	Transporters [BR:ko02000]
gene=sorM	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=sorM	ko02060	Phosphotransferase system (PTS) [PATH:ko02060]
gene=sorM	ko02000	Transporters [BR:ko02000]
gene=entC	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]
gene=entC	ko01053	Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]
gene=yfbT_1	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=rplB	ko03010	Ribosome [PATH:ko03010]
gene=rplB	ko03011	Ribosome [BR:ko03011]
gene=fhuA_3	ko02000	Transporters [BR:ko02000]
gene=mgl	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=yedI_1	99997	Function unknown
gene=asrA	ko00920	Sulfur metabolism [PATH:ko00920]
gene=yjcS	99980	Enzymes with EC numbers
gene=cutM_1	99980	Enzymes with EC numbers
gene=chiD	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=pykA_2	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=pykA_2	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=pykA_2	ko04922	Glucagon signaling pathway [PATH:ko04922]
gene=pykA_2	ko05203	Viral carcinogenesis [PATH:ko05203]
gene=pykA_2	ko05230	Central carbon metabolism in cancer [PATH:ko05230]
gene=pykA_2	ko05165	Human papillomavirus infection [PATH:ko05165]
gene=pykA_2	ko04930	Type II diabetes mellitus [PATH:ko04930]
gene=pykA_2	ko04131	Membrane trafficking [BR:ko04131]
gene=pykA_2	ko04147	Exosome [BR:ko04147]
gene=ctpH	ko02020	Two-component system [PATH:ko02020]
gene=ctpH	ko02030	Bacterial chemotaxis [PATH:ko02030]
gene=ctpH	ko02035	Bacterial motility proteins [BR:ko02035]
gene=mobA	ko00790	Folate biosynthesis [PATH:ko00790]
gene=aceK	99980	Enzymes with EC numbers
gene=sigJ	ko03021	Transcription machinery [BR:ko03021]
gene=hutI_1	ko00340	Histidine metabolism [PATH:ko00340]
gene=osmE_2	99992	Structural proteins
gene=invA	ko03070	Bacterial secretion system [PATH:ko03070]
gene=invA	ko02044	Secretion system [BR:ko02044]
gene=htrB	ko02020	Two-component system [PATH:ko02020]
gene=htrB	ko01503	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
gene=htrB	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=htrB	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=metP_4	ko02010	ABC transporters [PATH:ko02010]
gene=metP_4	ko02000	Transporters [BR:ko02000]
protein=Gluconate	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=iolI_2	ko00562	Inositol phosphate metabolism [PATH:ko00562]
gene=groL5_2	ko03018	RNA degradation [PATH:ko03018]
gene=groL5_2	ko04212	Longevity regulating pathway - worm [PATH:ko04212]
gene=groL5_2	ko05134	Legionellosis [PATH:ko05134]
gene=groL5_2	ko05152	Tuberculosis [PATH:ko05152]
gene=groL5_2	ko05417	Lipid and atherosclerosis [PATH:ko05417]
gene=groL5_2	ko04940	Type I diabetes mellitus [PATH:ko04940]
gene=groL5_2	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=groL5_2	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=groL5_2	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=groL5_2	ko04147	Exosome [BR:ko04147]
gene=rimI	ko03009	Ribosome biogenesis [BR:ko03009]
gene=ilvA_3	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=ilvA_3	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=ilvA_3	ko00290	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]
gene=norB_3	ko02000	Transporters [BR:ko02000]
gene=norB_3	ko01504	Antimicrobial resistance genes [BR:ko01504]
gene=menC	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]
gene=adhA	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=adhA	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=adhA	ko00071	Fatty acid degradation [PATH:ko00071]
gene=adhA	ko00350	Tyrosine metabolism [PATH:ko00350]
gene=adhA	ko00830	Retinol metabolism [PATH:ko00830]
gene=adhA	ko00625	Chloroalkane and chloroalkene degradation [PATH:ko00625]
gene=adhA	ko00626	Naphthalene degradation [PATH:ko00626]
gene=adhA	ko00980	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]
gene=adhA	ko00982	Drug metabolism - cytochrome P450 [PATH:ko00982]
gene=cyoA_2	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=metX	ko00920	Sulfur metabolism [PATH:ko00920]
gene=metX	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=dsbE	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=fkpB	ko03110	Chaperones and folding catalysts [BR:ko03110]
protein=NADH-quinone	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=qseB_3	ko02020	Two-component system [PATH:ko02020]
gene=qseB_3	ko02024	Quorum sensing [PATH:ko02024]
gene=qseB_3	ko02022	Two-component system [BR:ko02022]
gene=proX	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=pyrF	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=metG	ko00450	Selenocompound metabolism [PATH:ko00450]
gene=metG	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=metG	ko01007	Amino acid related enzymes [BR:ko01007]
gene=metG	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=ychF_3	ko03009	Ribosome biogenesis [BR:ko03009]
gene=braC_9	ko02010	ABC transporters [PATH:ko02010]
gene=braC_9	ko02024	Quorum sensing [PATH:ko02024]
gene=braC_9	ko02000	Transporters [BR:ko02000]
gene=yjjX	ko00230	Purine metabolism [PATH:ko00230]
gene=ribC	ko00740	Riboflavin metabolism [PATH:ko00740]
gene=yqgF_2	ko03009	Ribosome biogenesis [BR:ko03009]
gene=pknJ_5	ko01001	Protein kinases [BR:ko01001]
gene=rnc	ko03008	Ribosome biogenesis in eukaryotes [PATH:ko03008]
gene=rnc	ko05205	Proteoglycans in cancer [PATH:ko05205]
gene=rnc	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=rnc	ko03009	Ribosome biogenesis [BR:ko03009]
gene=rnc	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=tar_14	ko02020	Two-component system [PATH:ko02020]
gene=tar_14	ko02030	Bacterial chemotaxis [PATH:ko02030]
gene=tar_14	ko02035	Bacterial motility proteins [BR:ko02035]
gene=opuBB	ko02010	ABC transporters [PATH:ko02010]
gene=opuBB	ko02000	Transporters [BR:ko02000]
gene=dasR_2	ko03000	Transcription factors [BR:ko03000]
gene=ylmB_3	ko00220	Arginine biosynthesis [PATH:ko00220]
gene=araC	ko03000	Transcription factors [BR:ko03000]
gene=dacA_2	99980	Enzymes with EC numbers
gene=tetA_3	ko02000	Transporters [BR:ko02000]
gene=fumB_1	ko00020	Citrate cycle (TCA cycle) [PATH:ko00020]
gene=fumB_1	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=fumB_1	ko00720	Carbon fixation pathways in prokaryotes [PATH:ko00720]
gene=sbpA_2	ko00920	Sulfur metabolism [PATH:ko00920]
gene=sbpA_2	ko02010	ABC transporters [PATH:ko02010]
gene=sbpA_2	ko02000	Transporters [BR:ko02000]
gene=hypBA1_2	99997	Function unknown
gene=aphA4	ko01504	Antimicrobial resistance genes [BR:ko01504]
gene=anoI	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=anoI	ko02020	Two-component system [PATH:ko02020]
gene=anoI	ko02024	Quorum sensing [PATH:ko02024]
gene=anoI	ko02025	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
gene=bcr_2	ko02000	Transporters [BR:ko02000]
gene=scoF	99973	Transcription
gene=fumC_2	ko00020	Citrate cycle (TCA cycle) [PATH:ko00020]
gene=fumC_2	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=fumC_2	ko00720	Carbon fixation pathways in prokaryotes [PATH:ko00720]
gene=fumC_2	ko05200	Pathways in cancer [PATH:ko05200]
gene=fumC_2	ko05211	Renal cell carcinoma [PATH:ko05211]
gene=fumC_2	ko04934	Cushing syndrome [PATH:ko04934]
gene=artJ_1	ko02000	Transporters [BR:ko02000]
gene=rocF_1	ko00220	Arginine biosynthesis [PATH:ko00220]
gene=rocF_1	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=rocF_1	ko05146	Amoebiasis [PATH:ko05146]
gene=gsiD_3	ko02024	Quorum sensing [PATH:ko02024]
gene=gsiD_3	ko02000	Transporters [BR:ko02000]
gene=chbC_3	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=chbC_3	ko02060	Phosphotransferase system (PTS) [PATH:ko02060]
gene=chbC_3	ko02000	Transporters [BR:ko02000]
gene=dapH_1	ko00300	Lysine biosynthesis [PATH:ko00300]
gene=ttdB	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=gsiB_5	ko02024	Quorum sensing [PATH:ko02024]
gene=gsiB_5	ko02000	Transporters [BR:ko02000]
protein=putative	ko01004	Lipid biosynthesis proteins [BR:ko01004]
gene=psaK_1	ko00195	Photosynthesis [PATH:ko00195]
gene=psaK_1	ko00194	Photosynthesis proteins [BR:ko00194]
gene=fadB2_1	ko00650	Butanoate metabolism [PATH:ko00650]
gene=fadB2_1	ko00360	Phenylalanine metabolism [PATH:ko00360]
gene=fadB2_1	ko00362	Benzoate degradation [PATH:ko00362]
gene=ddpA_6	ko02024	Quorum sensing [PATH:ko02024]
gene=ddpA_6	ko02000	Transporters [BR:ko02000]
gene=odhB_2	ko00020	Citrate cycle (TCA cycle) [PATH:ko00020]
gene=odhB_2	ko00310	Lysine degradation [PATH:ko00310]
gene=odhB_2	ko00380	Tryptophan metabolism [PATH:ko00380]
gene=rstB_4	ko02020	Two-component system [PATH:ko02020]
gene=rstB_4	ko01501	beta-Lactam resistance [PATH:ko01501]
gene=rstB_4	ko01503	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
gene=rstB_4	ko01001	Protein kinases [BR:ko01001]
gene=rstB_4	ko02022	Two-component system [BR:ko02022]
gene=rstB_4	ko01504	Antimicrobial resistance genes [BR:ko01504]
gene=dnaT_2	ko03440	Homologous recombination [PATH:ko03440]
gene=dnaT_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=parB_3	ko03000	Transcription factors [BR:ko03000]
gene=parB_3	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=parB_3	ko04812	Cytoskeleton proteins [BR:ko04812]
gene=pduF	ko02000	Transporters [BR:ko02000]
gene=braC_14	ko02010	ABC transporters [PATH:ko02010]
gene=braC_14	ko02024	Quorum sensing [PATH:ko02024]
gene=braC_14	ko02000	Transporters [BR:ko02000]
gene=ftsI_3	ko00550	Peptidoglycan biosynthesis [PATH:ko00550]
gene=ftsI_3	ko01501	beta-Lactam resistance [PATH:ko01501]
gene=ftsI_3	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=ftsI_3	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=leuD	ko00660	C5-Branched dibasic acid metabolism [PATH:ko00660]
gene=leuD	ko00290	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]
gene=dat	ko00310	Lysine degradation [PATH:ko00310]
gene=dat	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=dat	ko00360	Phenylalanine metabolism [PATH:ko00360]
gene=dat	ko00470	D-Amino acid metabolism [PATH:ko00470]
gene=dat	ko01007	Amino acid related enzymes [BR:ko01007]
gene=sugB_11	ko02010	ABC transporters [PATH:ko02010]
gene=sugB_11	ko02000	Transporters [BR:ko02000]
gene=yneB_6	99976	Replication and repair
gene=fruA_3	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=fruA_3	ko02060	Phosphotransferase system (PTS) [PATH:ko02060]
gene=fruA_3	ko02000	Transporters [BR:ko02000]
gene=malT	ko03000	Transcription factors [BR:ko03000]
gene=allA_2	ko00230	Purine metabolism [PATH:ko00230]
protein=putative	ko01004	Lipid biosynthesis proteins [BR:ko01004]
gene=esxU	ko05152	Tuberculosis [PATH:ko05152]
gene=phaA_1	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=phaA_1	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=phaA_1	ko00650	Butanoate metabolism [PATH:ko00650]
gene=phaA_1	ko00720	Carbon fixation pathways in prokaryotes [PATH:ko00720]
gene=phaA_1	ko00071	Fatty acid degradation [PATH:ko00071]
gene=phaA_1	ko00280	Valine, leucine and isoleucine degradation [PATH:ko00280]
gene=phaA_1	ko00310	Lysine degradation [PATH:ko00310]
gene=phaA_1	ko00380	Tryptophan metabolism [PATH:ko00380]
gene=phaA_1	ko00900	Terpenoid backbone biosynthesis [PATH:ko00900]
gene=phaA_1	ko00362	Benzoate degradation [PATH:ko00362]
gene=phaA_1	ko02020	Two-component system [PATH:ko02020]
gene=phaA_1	ko04975	Fat digestion and absorption [PATH:ko04975]
gene=phaA_1	ko04147	Exosome [BR:ko04147]
gene=yneB_12	99976	Replication and repair
gene=yckB	ko02010	ABC transporters [PATH:ko02010]
gene=yckB	ko02040	Flagellar assembly [PATH:ko02040]
gene=yckB	ko02000	Transporters [BR:ko02000]
gene=yckB	ko02035	Bacterial motility proteins [BR:ko02035]
gene=fliC_1	ko02020	Two-component system [PATH:ko02020]
gene=fliC_1	ko02040	Flagellar assembly [PATH:ko02040]
gene=fliC_1	ko04621	NOD-like receptor signaling pathway [PATH:ko04621]
gene=fliC_1	ko04626	Plant-pathogen interaction [PATH:ko04626]
gene=fliC_1	ko05132	Salmonella infection [PATH:ko05132]
gene=fliC_1	ko05131	Shigellosis [PATH:ko05131]
gene=fliC_1	ko05134	Legionellosis [PATH:ko05134]
gene=fliC_1	ko02035	Bacterial motility proteins [BR:ko02035]
gene=fabG2_4	ko00061	Fatty acid biosynthesis [PATH:ko00061]
gene=fabG2_4	ko00780	Biotin metabolism [PATH:ko00780]
gene=fabG2_4	ko00333	Prodigiosin biosynthesis [PATH:ko00333]
gene=fabG2_4	ko01004	Lipid biosynthesis proteins [BR:ko01004]
gene=mcl2_2	ko02020	Two-component system [PATH:ko02020]
gene=bglH_5	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=bglH_5	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=yxdM_6	ko02020	Two-component system [PATH:ko02020]
gene=yxdM_6	ko02000	Transporters [BR:ko02000]
gene=cmdD_1	99980	Enzymes with EC numbers
gene=gabR_1	ko03000	Transcription factors [BR:ko03000]
gene=nadC_2	99980	Enzymes with EC numbers
gene=leuC_1	ko00660	C5-Branched dibasic acid metabolism [PATH:ko00660]
gene=leuC_1	ko00290	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]
gene=leuC_1	ko00966	Glucosinolate biosynthesis [PATH:ko00966]
gene=pcaR_2	ko03000	Transcription factors [BR:ko03000]
gene=psd	ko00564	Glycerophospholipid metabolism [PATH:ko00564]
gene=pdtaR_3	ko02022	Two-component system [BR:ko02022]
gene=ppaC_2	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=mdcB	ko02020	Two-component system [PATH:ko02020]
gene=thiE_3	ko00730	Thiamine metabolism [PATH:ko00730]
gene=ybxI	ko01501	beta-Lactam resistance [PATH:ko01501]
gene=ctaD_2	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=holE	ko03030	DNA replication [PATH:ko03030]
gene=holE	ko03430	Mismatch repair [PATH:ko03430]
gene=holE	ko03440	Homologous recombination [PATH:ko03440]
gene=holE	ko03032	DNA replication proteins [BR:ko03032]
gene=holE	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=pgaA_4	ko02026	Biofilm formation - Escherichia coli [PATH:ko02026]
gene=lat	ko01007	Amino acid related enzymes [BR:ko01007]
gene=ispE	ko00900	Terpenoid backbone biosynthesis [PATH:ko00900]
gene=lecA	ko02024	Quorum sensing [PATH:ko02024]
